Ticker,Date,Price,Flow
USD/JPY_B,1/25/2017 13:00,113.67,-1.024701
USD/JPY_B,1/25/2017 14:00,113.766,1
USD/JPY_B,1/25/2017 15:00,113.596,-1.011263
USD/JPY_B,1/25/2017 16:00,113.246,1.03832
USD/JPY_B,1/25/2017 17:00,113.266,1.050441
USD/JPY_B,1/25/2017 18:00,113.327,1.054232
USD/JPY_B,1/25/2017 19:00,113.272,1.004008
USD/JPY_B,1/25/2017 20:00,113.14,-1.007226
USD/JPY_B,1/25/2017 21:00,113.237,-1.006421
USD/JPY_B,1/25/2017 22:00,113.353,-1.012882
USD/JPY_B,1/25/2017 23:00,113.358,-1.00441
USD/JPY_B,1/26/2017 0:00,113.27,1.003205
USD/JPY_B,1/26/2017 1:00,113.333,-1.01005
USD/JPY_B,1/26/2017 2:00,113.56,1.042484
USD/JPY_B,1/26/2017 3:00,113.754,1.059308
USD/JPY_B,1/26/2017 4:00,113.673,1.045827
USD/JPY_B,1/26/2017 5:00,114.157,1.061856
USD/JPY_B,1/26/2017 6:00,114.267,1.072109
USD/JPY_B,1/26/2017 7:00,114.26,1.0803
USD/JPY_B,1/26/2017 8:00,114.406,1.060157
USD/JPY_B,1/26/2017 9:00,114.244,1.037905
USD/JPY_B,1/26/2017 10:00,114.259,1.044572
USD/JPY_B,1/26/2017 11:00,114.736,1.050021
USD/JPY_B,1/26/2017 12:00,114.695,1.001601
USD/JPY_B,1/26/2017 13:00,114.618,-1.002403
USD/JPY_B,1/26/2017 14:00,114.348,1.018978
USD/JPY_B,1/26/2017 15:00,114.348,1.027575
USD/JPY_B,1/26/2017 16:00,114.45,1.031694
USD/JPY_B,1/26/2017 17:00,114.508,1.013693
USD/JPY_B,1/26/2017 18:00,114.586,1.017756
USD/JPY_B,1/26/2017 19:00,114.423,1.042901
USD/JPY_B,1/26/2017 20:00,114.652,1.061431
USD/JPY_B,1/26/2017 21:00,114.875,1.044572
USD/JPY_B,1/26/2017 22:00,114.882,1.067825
USD/JPY_B,1/26/2017 23:00,114.976,1.070822
USD/JPY_B,1/27/2017 0:00,114.92,1.059308
USD/JPY_B,1/27/2017 1:00,115.042,1.073828
USD/JPY_B,1/27/2017 2:00,115.181,1.090738
USD/JPY_B,1/27/2017 3:00,115.145,1.060581
USD/JPY_B,1/27/2017 4:00,115.231,1.065262
USD/JPY_B,1/27/2017 5:00,114.936,1.011263
USD/JPY_B,1/27/2017 6:00,115.074,1.035831
USD/JPY_B,1/27/2017 7:00,115.07,1.009646
USD/JPY_B,1/27/2017 8:00,115.192,1.06441
USD/JPY_B,1/27/2017 9:00,115.182,-1.015723
USD/JPY_B,1/27/2017 10:00,115.093,-1.042901
USD/JPY_B,1/27/2017 11:00,115.02,-1.062281
USD/JPY_B,1/27/2017 12:00,115.155,-1.050861
USD/JPY_B,1/27/2017 13:00,115.222,-1.065689
USD/JPY_B,1/27/2017 14:00,115.138,-1.074258
USD/JPY_B,1/27/2017 15:00,115.047,-1.065262
USD/JPY_B,1/27/2017 16:00,115.112,-1.070393
USD/JPY_B,1/27/2017 17:00,115.068,-1.081165
USD/JPY_B,1/29/2017 18:00,114.884,-1.04165
USD/JPY_B,1/29/2017 19:00,114.682,-1.10482
USD/JPY_B,1/29/2017 20:00,114.67,-1.120441
USD/JPY_B,1/29/2017 21:00,114.4,-1.156102
USD/JPY_B,1/29/2017 22:00,114.342,-1.154708
USD/JPY_B,1/29/2017 23:00,114.415,-1.154244
USD/JPY_B,1/30/2017 0:00,114.494,-1.112825
USD/JPY_B,1/30/2017 1:00,114.578,-1.130379
USD/JPY_B,1/30/2017 2:00,114.58,-1.10926
USD/JPY_B,1/30/2017 3:00,114.839,-1.095118
USD/JPY_B,1/30/2017 4:00,114.784,-1.090738
USD/JPY_B,1/30/2017 5:00,114.688,-1.093802
USD/JPY_B,1/30/2017 6:00,114.586,-1.101723
USD/JPY_B,1/30/2017 7:00,114.669,-1.079867
USD/JPY_B,1/30/2017 8:00,114.614,-1.028398
USD/JPY_B,1/30/2017 9:00,114.495,-1.065262
USD/JPY_B,1/30/2017 10:00,114.273,-1.077275
USD/JPY_B,1/30/2017 11:00,113.855,-1.062706
USD/JPY_B,1/30/2017 12:00,113.865,1.016129
USD/JPY_B,1/30/2017 13:00,113.598,1.02061
USD/JPY_B,1/30/2017 14:00,113.638,1.05381
USD/JPY_B,1/30/2017 15:00,113.655,1.05846
USD/JPY_B,1/30/2017 16:00,113.718,1.067825
USD/JPY_B,1/30/2017 17:00,113.742,1.045827
USD/JPY_B,1/30/2017 18:00,113.74,1.032934
USD/JPY_B,1/30/2017 19:00,113.68,1.042901
USD/JPY_B,1/30/2017 20:00,113.762,1.035416
USD/JPY_B,1/30/2017 21:00,113.703,1.047921
USD/JPY_B,1/30/2017 22:00,113.516,1.008839
USD/JPY_B,1/30/2017 23:00,113.521,-1.024701
USD/JPY_B,1/31/2017 0:00,113.556,-1.012477
USD/JPY_B,1/31/2017 1:00,113.482,-1.001601
USD/JPY_B,1/31/2017 2:00,113.561,-1.013288
USD/JPY_B,1/31/2017 3:00,113.58,1.047502
USD/JPY_B,1/31/2017 4:00,113.942,1.106594
USD/JPY_B,1/31/2017 5:00,113.842,1.104377
USD/JPY_B,1/31/2017 6:00,113.782,1.07555
USD/JPY_B,1/31/2017 7:00,113.518,1.11015
USD/JPY_B,1/31/2017 8:00,113.297,1.05381
USD/JPY_B,1/31/2017 9:00,113.285,1.073398
USD/JPY_B,1/31/2017 10:00,112.23,1.132196
USD/JPY_B,1/31/2017 11:00,112.524,1.168727
USD/JPY_B,1/31/2017 12:00,112.712,1.135839
USD/JPY_B,1/31/2017 13:00,113,1.135383
USD/JPY_B,1/31/2017 14:00,112.691,1.133561
USD/JPY_B,1/31/2017 15:00,112.71,1.168727
USD/JPY_B,1/31/2017 16:00,112.892,1.103049
USD/JPY_B,1/31/2017 17:00,112.746,1.097315
USD/JPY_B,1/31/2017 18:00,112.663,1.104377
USD/JPY_B,1/31/2017 19:00,112.776,1.122241
USD/JPY_B,1/31/2017 20:00,112.937,1.138123
USD/JPY_B,1/31/2017 21:00,113.072,1.126755
USD/JPY_B,1/31/2017 22:00,113.046,1.093364
USD/JPY_B,1/31/2017 23:00,113.148,1.091175
USD/JPY_B,2/1/2017 0:00,113.214,1.111486
USD/JPY_B,2/1/2017 1:00,113.132,1.093802
USD/JPY_B,2/1/2017 2:00,113.306,1.119542
USD/JPY_B,2/1/2017 3:00,113.568,1.187705
USD/JPY_B,2/1/2017 4:00,113.346,1.181025
USD/JPY_B,2/1/2017 5:00,113.404,1.133561
USD/JPY_B,2/1/2017 6:00,113.296,1.142704
USD/JPY_B,2/1/2017 7:00,113.242,1.101723
